date,city,rainfall
1/9/2018,澎湖縣,16.4
1/10/2018,宜蘭縣,0.9
1/10/2018,花蓮縣,1.5
1/10/2018,金門縣,0
1/10/2018,南投縣,4.5
1/10/2018,屏東縣,4.5
1/10/2018,苗栗縣,0.5
1/10/2018,桃園市,0
1/10/2018,高雄市,1.5
1/10/2018,基隆市,0
1/10/2018,連江縣,0
1/10/2018,雲林縣,1
1/10/2018,新北市,0
1/10/2018,新竹縣,0.09
1/10/2018,嘉義縣,2
1/10/2018,彰化縣,1
1/10/2018,臺中市,1
1/10/2018,臺北市,0
1/10/2018,臺東縣,0.5
1/10/2018,臺南市,0.5
1/10/2018,澎湖縣,0
1/11/2018,宜蘭縣,0
1/11/2018,花蓮縣,0
1/11/2018,金門縣,0
1/11/2018,南投縣,0
1/11/2018,屏東縣,0
1/11/2018,苗栗縣,0
1/11/2018,桃園市,0
1/11/2018,高雄市,0
1/11/2018,基隆市,0
1/11/2018,連江縣,0
1/11/2018,雲林縣,0
1/11/2018,新北市,0
1/11/2018,新竹縣,0
1/11/2018,嘉義縣,0
1/11/2018,彰化縣,0
1/11/2018,臺中市,0
1/11/2018,臺北市,0
1/11/2018,臺東縣,0
1/11/2018,臺南市,0
1/11/2018,澎湖縣,0
1/12/2018,宜蘭縣,0
1/12/2018,花蓮縣,0
1/12/2018,金門縣,0
1/12/2018,南投縣,0
1/12/2018,屏東縣,0
1/12/2018,苗栗縣,0
1/12/2018,桃園市,0
1/12/2018,高雄市,0
1/12/2018,基隆市,0
1/12/2018,連江縣,0
1/12/2018,雲林縣,0
1/12/2018,新北市,0
1/12/2018,新竹縣,0
1/12/2018,嘉義縣,0
1/12/2018,彰化縣,0
1/12/2018,臺中市,0
1/12/2018,臺北市,0
1/12/2018,臺東縣,0
1/12/2018,臺南市,0
1/12/2018,澎湖縣,0
1/13/2018,宜蘭縣,0.09
1/13/2018,花蓮縣,0
1/13/2018,金門縣,0
1/13/2018,南投縣,0
1/13/2018,屏東縣,0
1/13/2018,苗栗縣,0
1/13/2018,桃園市,0
1/13/2018,高雄市,0
1/13/2018,基隆市,0.7
1/13/2018,連江縣,0
1/13/2018,雲林縣,0
1/13/2018,新北市,0
1/13/2018,新竹縣,0
1/13/2018,嘉義縣,0
1/13/2018,彰化縣,0
1/13/2018,臺中市,0
1/13/2018,臺北市,0
1/13/2018,臺東縣,0
1/13/2018,臺南市,0
1/13/2018,澎湖縣,0
1/14/2018,宜蘭縣,0
1/14/2018,花蓮縣,0
1/14/2018,金門縣,0
1/14/2018,南投縣,0
1/14/2018,屏東縣,0
1/14/2018,苗栗縣,0
1/14/2018,桃園市,0
1/14/2018,高雄市,0
1/14/2018,基隆市,0
1/14/2018,連江縣,0
1/14/2018,雲林縣,0
1/14/2018,新北市,0
1/14/2018,新竹縣,0
1/14/2018,嘉義縣,0
1/14/2018,彰化縣,0
1/14/2018,臺中市,0
1/14/2018,臺北市,0
1/14/2018,臺東縣,0
1/14/2018,臺南市,0
1/14/2018,澎湖縣,0
1/15/2018,宜蘭縣,0
1/15/2018,花蓮縣,0
1/15/2018,金門縣,0
1/15/2018,南投縣,0
1/15/2018,屏東縣,0
1/15/2018,苗栗縣,0
1/15/2018,桃園市,0
1/15/2018,高雄市,0
1/15/2018,基隆市,0
1/15/2018,連江縣,0
1/15/2018,雲林縣,0
1/15/2018,新北市,0
1/15/2018,新竹縣,0
1/15/2018,嘉義縣,0
1/15/2018,彰化縣,0
1/15/2018,臺中市,0
1/15/2018,臺北市,0
1/15/2018,臺東縣,0
1/15/2018,臺南市,0
1/15/2018,澎湖縣,0
1/16/2018,宜蘭縣,0
1/16/2018,花蓮縣,0
1/16/2018,金門縣,0
1/16/2018,南投縣,0
1/16/2018,屏東縣,0
1/16/2018,苗栗縣,0
1/16/2018,桃園市,0
1/16/2018,高雄市,0
1/16/2018,基隆市,0
1/16/2018,連江縣,0
1/16/2018,雲林縣,0
1/16/2018,新北市,0
1/16/2018,新竹縣,0
1/16/2018,嘉義縣,0
1/16/2018,彰化縣,0
1/16/2018,臺中市,0
1/16/2018,臺北市,0
1/16/2018,臺東縣,0.4
1/16/2018,臺南市,0
1/16/2018,澎湖縣,0
1/17/2018,宜蘭縣,1
1/17/2018,花蓮縣,1.5
1/17/2018,金門縣,0
1/17/2018,南投縣,0
1/17/2018,屏東縣,0
1/17/2018,苗栗縣,0
1/17/2018,桃園市,0
1/17/2018,高雄市,0.09
1/17/2018,基隆市,0.5
1/17/2018,連江縣,0
1/17/2018,雲林縣,0
1/17/2018,新北市,0
1/17/2018,新竹縣,0.1
1/17/2018,嘉義縣,0
1/17/2018,彰化縣,0
1/17/2018,臺中市,0.09
1/17/2018,臺北市,0
1/17/2018,臺東縣,11.1
1/17/2018,臺南市,0
1/17/2018,澎湖縣,0.09
1/18/2018,宜蘭縣,53.2
1/18/2018,花蓮縣,0
1/18/2018,金門縣,0
1/18/2018,南投縣,0
1/18/2018,屏東縣,0
1/18/2018,苗栗縣,0
1/18/2018,桃園市,0.5
1/18/2018,高雄市,0
1/18/2018,基隆市,21
1/18/2018,連江縣,0
